"virus","animal","cors","corsCI1","corsCI2","pval","commonName"
"Influenza A virus H7N9, segment 2","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Influenza A virus H7N9, segment 3","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Influenza A virus H7N9, segment 5","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Influenza A virus H9N2 (HA)","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Influenza A virus H9N2 segment 5","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Parvovirus NIH-CQV","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Bamboo rat circovirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Bamboo rat coronavirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Betacoronavirus HKU24","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Cadicivirus B","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Canine coronavirus HeB-G1","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Canine coronavirus SD-F3","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Canine kobuvirus JX-MO1","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Canine kobuvirus SMCD-59","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Canine parvovirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Civet astrovirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Civet kobuvirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"European hedgehog papillomavirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Hedgehog bocavirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Hedgehog chapparvovirus 6","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Hedgehog dicipivirus 2","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Lucheng Rn rat coronavirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Lupine bocavirus isolate South Douro","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Marmot kobuvirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Myocastor coypus polyomavirus 1","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Raccoon dog amdovirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Rodent papillomavirus","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Skunk adenovirus PB1","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"SARS-CoV-2","Plectropomus.leopardus",NA,NA,NA,NA,"Leopard coralgrouper"
"Human adenovirus type 1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human astrovirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human herpesvirus 1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human herpesvirus 4","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human orthopneumovirus B","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human papillomavirus 1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human papillomavirus type 41","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H3N2","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H5N1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H7N9, segment 1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H7N9, segment 2","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H7N9, segment 3","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H7N9, segment 5","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H9N2 (HA)","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Influenza A virus H9N2 segment 5","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Parvovirus NIH-CQV","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Bamboo rat circovirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Bamboo rat coronavirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Betacoronavirus HKU24","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Cadicivirus B","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Canine coronavirus HeB-G1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Canine coronavirus SD-F3","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Canine kobuvirus JX-MO1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Canine kobuvirus SMCD-59","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Canine parvovirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Civet astrovirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Civet kobuvirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"European hedgehog papillomavirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Hedgehog bocavirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Hedgehog chapparvovirus 6","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Hedgehog dicipivirus 2","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Lucheng Rn rat coronavirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Lupine bocavirus isolate South Douro","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Marmot kobuvirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Myocastor coypus polyomavirus 1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Raccoon dog amdovirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Rodent papillomavirus","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Skunk adenovirus PB1","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"SARS-CoV-2","Hemibarbus.barbus",NA,NA,NA,NA,"Barbel steed"
"Human adenovirus type 1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human astrovirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human herpesvirus 1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human herpesvirus 4","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human orthopneumovirus B","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human papillomavirus 1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human papillomavirus type 41","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H3N2","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H5N1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H7N9, segment 1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H7N9, segment 2","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H7N9, segment 3","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H7N9, segment 5","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H9N2 (HA)","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Influenza A virus H9N2 segment 5","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Parvovirus NIH-CQV","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Bamboo rat circovirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Bamboo rat coronavirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Betacoronavirus HKU24","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Cadicivirus B","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Canine coronavirus HeB-G1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Canine coronavirus SD-F3","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Canine kobuvirus JX-MO1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Canine kobuvirus SMCD-59","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Canine parvovirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Civet astrovirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Civet kobuvirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"European hedgehog papillomavirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Hedgehog bocavirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Hedgehog chapparvovirus 6","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Hedgehog dicipivirus 2","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Lucheng Rn rat coronavirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Lupine bocavirus isolate South Douro","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Marmot kobuvirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Myocastor coypus polyomavirus 1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Raccoon dog amdovirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Rodent papillomavirus","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Skunk adenovirus PB1","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"SARS-CoV-2","Coilia.nasus",NA,NA,NA,NA,"Japanese grenadier anchovy"
"Human adenovirus type 1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human astrovirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human herpesvirus 1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human herpesvirus 4","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human orthopneumovirus B","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human papillomavirus 1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human papillomavirus type 41","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H3N2","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H5N1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H7N9, segment 1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H7N9, segment 2","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H7N9, segment 3","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H7N9, segment 5","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H9N2 (HA)","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Influenza A virus H9N2 segment 5","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Parvovirus NIH-CQV","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Bamboo rat circovirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Bamboo rat coronavirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Betacoronavirus HKU24","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Cadicivirus B","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Canine coronavirus HeB-G1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Canine coronavirus SD-F3","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Canine kobuvirus JX-MO1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Canine kobuvirus SMCD-59","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Canine parvovirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Civet astrovirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Civet kobuvirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"European hedgehog papillomavirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Hedgehog bocavirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Hedgehog chapparvovirus 6","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Hedgehog dicipivirus 2","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Lucheng Rn rat coronavirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Lupine bocavirus isolate South Douro","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Marmot kobuvirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Myocastor coypus polyomavirus 1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Raccoon dog amdovirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Rodent papillomavirus","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Skunk adenovirus PB1","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"SARS-CoV-2","Reinhardtius.hippoglossoides",NA,NA,NA,NA,"Greenland flounder"
"Human adenovirus type 1","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Human astrovirus","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Human herpesvirus 1","Naja.atra",0.062943900315442,-0.174612674481779,0.293575881442747,0.604696932847441,"Chinese cobra"
"Human herpesvirus 4","Naja.atra",-0.00210210728687276,-0.236959085240879,0.232986996118019,0.986220556683478,"Chinese cobra"
"Human orthopneumovirus B","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Human papillomavirus 1","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Human papillomavirus type 41","Naja.atra",-0.126042435120835,-0.350631897803604,0.112256245865736,0.298473588364278,"Chinese cobra"
"Influenza A virus H3N2","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Influenza A virus H5N1","Naja.atra",-0.082163503769451,-0.311130745376373,0.15581880068241,0.498916075628725,"Chinese cobra"
"Influenza A virus H7N9, segment 1","Naja.atra",-0.0665540738428514,-0.296885261760236,0.171095623027856,0.584095211181304,"Chinese cobra"
"Influenza A virus H7N9, segment 2","Naja.atra",-0.114907233057727,-0.340682747410683,0.123398576669861,0.343529294570044,"Chinese cobra"
"Influenza A virus H7N9, segment 3","Naja.atra",-0.082163503769451,-0.311130745376373,0.15581880068241,0.498916075628725,"Chinese cobra"
"Influenza A virus H7N9, segment 5","Naja.atra",-0.116845788645082,-0.342418463195696,0.121463090209411,0.335394722468298,"Chinese cobra"
"Influenza A virus H9N2 (HA)","Naja.atra",-0.082163503769451,-0.311130745376373,0.15581880068241,0.498916075628725,"Chinese cobra"
"Influenza A virus H9N2 segment 5","Naja.atra",0.23366320429839,-0.00138696857765574,0.444245996030847,0.0515577684712702,"Chinese cobra"
"Parvovirus NIH-CQV","Naja.atra",NA,NA,NA,NA,"Chinese cobra"
"Bamboo rat circovirus","Naja.atra",0.0840390870054393,-0.153975488989727,0.312835544472075,0.489134332934236,"Chinese cobra"
"Bamboo rat coronavirus","Naja.atra",0.147873854095762,-0.0902355379729278,0.369991945380557,0.221838455432573,"Chinese cobra"
"Betacoronavirus HKU24","Naja.atra",0.113966753120445,-0.124336914931575,0.339840119321016,0.347519744060811,"Chinese cobra"
"Cadicivirus B","Naja.atra",0.152326646802933,-0.0857153683114454,0.373917125773834,0.208077326365437,"Chinese cobra"
"Canine coronavirus HeB-G1","Naja.atra",0.0651163241109535,-0.172497013039438,0.295567965398763,0.592261539183518,"Chinese cobra"
"Canine coronavirus SD-F3","Naja.atra",0.0780559768304938,-0.159849871599543,0.307392081359218,0.52068792003674,"Chinese cobra"
"Canine kobuvirus JX-MO1","Naja.atra",0.103367118536326,-0.134883021200703,0.330318178212729,0.394467362135427,"Chinese cobra"
"Canine kobuvirus SMCD-59","Naja.atra",0.121165210315848,-0.117143979732297,0.346280394796802,0.317709908737953,"Chinese cobra"
"Canine parvovirus","Naja.atra",0.191296772313251,-0.0457329343213349,0.407934242807205,0.112654463401286,"Chinese cobra"
"Civet astrovirus","Naja.atra",-0.0578268280116931,-0.28887566425301,0.179587391635781,0.634430077793753,"Chinese cobra"
"Civet kobuvirus","Naja.atra",-0.138468256382049,-0.361674670714054,0.0997513183775324,0.252969764967681,"Chinese cobra"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Naja.atra",-0.0582970336272723,-0.28930803044495,0.179130773038265,0.631672746353259,"Chinese cobra"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Naja.atra",-0.0958730820580062,-0.323558089440682,0.142306781772042,0.42981404246997,"Chinese cobra"
"European hedgehog papillomavirus","Naja.atra",0.212893411431754,-0.0232433451190697,0.426530492159977,0.0768157682139575,"Chinese cobra"
"Hedgehog bocavirus","Naja.atra",0.280763330250717,0.0490234906648933,0.483818814127349,0.018557286993732,"Chinese cobra"
"Hedgehog chapparvovirus 6","Naja.atra",0.145998648522095,-0.0921361870050795,0.368336556931397,0.22782028252742,"Chinese cobra"
"Hedgehog dicipivirus 2","Naja.atra",0.0825605614918076,-0.155428713042275,0.311491771389107,0.496836853299317,"Chinese cobra"
"Lucheng Rn rat coronavirus","Naja.atra",0.207672292946987,-0.0287023335352761,0.422051230098881,0.0845116260418593,"Chinese cobra"
"Lupine bocavirus isolate South Douro","Naja.atra",0.171804859304543,-0.065826559418777,0.390994556346073,0.154985769881693,"Chinese cobra"
"Marmot kobuvirus","Naja.atra",0.102975227622323,-0.135271901054437,0.329965244148929,0.396272017844352,"Chinese cobra"
"Myocastor coypus polyomavirus 1","Naja.atra",0.0273264431497367,-0.208989500990733,0.260626977885929,0.822325708358848,"Chinese cobra"
"Raccoon dog amdovirus","Naja.atra",0.203081424445587,-0.0334907369785313,0.4181040002654,0.0917712554980822,"Chinese cobra"
"Rodent papillomavirus","Naja.atra",-0.116876813126727,-0.342446228933936,0.121432100105603,0.335265531640162,"Chinese cobra"
"Skunk adenovirus PB1","Naja.atra",0.206863728384948,-0.0295464766666477,0.421356615312777,0.08575615977747,"Chinese cobra"
"SARS-CoV-2","Naja.atra",0.15818441760744,-0.079753998682435,0.379068746323162,0.190911397905785,"Chinese cobra"
"Human adenovirus type 1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human astrovirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human herpesvirus 1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human herpesvirus 4","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human orthopneumovirus B","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human papillomavirus 1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human papillomavirus type 41","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H3N2","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H5N1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H7N9, segment 1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H7N9, segment 2","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H7N9, segment 3","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H7N9, segment 5","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H9N2 (HA)","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Influenza A virus H9N2 segment 5","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Parvovirus NIH-CQV","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Bamboo rat circovirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Bamboo rat coronavirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Betacoronavirus HKU24","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Cadicivirus B","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Canine coronavirus HeB-G1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Canine coronavirus SD-F3","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Canine kobuvirus JX-MO1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Canine kobuvirus SMCD-59","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Canine parvovirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Civet astrovirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Civet kobuvirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"European hedgehog papillomavirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Hedgehog bocavirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Hedgehog chapparvovirus 6","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Hedgehog dicipivirus 2","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Lucheng Rn rat coronavirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Lupine bocavirus isolate South Douro","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Marmot kobuvirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Myocastor coypus polyomavirus 1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Raccoon dog amdovirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Rodent papillomavirus","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Skunk adenovirus PB1","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"SARS-CoV-2","Takifugu.obscurus",NA,NA,NA,NA,"Mefugu"
"Human adenovirus type 1","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Human astrovirus","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Human herpesvirus 1","Rattus.tanezumi",0.0327812901301513,-0.203762261619436,0.26570862427292,0.787620375904539,"Asian house rat"
"Human herpesvirus 4","Rattus.tanezumi",0.00240464804541975,-0.232700856545614,0.237244619427849,0.984237619693902,"Asian house rat"
"Human orthopneumovirus B","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Human papillomavirus 1","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Human papillomavirus type 41","Rattus.tanezumi",0.173136969888919,-0.0644594349975135,0.392156990246146,0.151762054659307,"Asian house rat"
"Influenza A virus H3N2","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Influenza A virus H5N1","Rattus.tanezumi",-0.0835547166850029,-0.312395420393321,0.154451683899881,0.491650758531399,"Asian house rat"
"Influenza A virus H7N9, segment 1","Rattus.tanezumi",-0.117215181308373,-0.342749030084905,0.121094076697542,0.33385854845349,"Asian house rat"
"Influenza A virus H7N9, segment 2","Rattus.tanezumi",-0.116852870955166,-0.342424801630191,0.121456015788068,0.335365227852883,"Asian house rat"
"Influenza A virus H7N9, segment 3","Rattus.tanezumi",-0.0835547166850029,-0.312395420393321,0.154451683899881,0.491650758531399,"Asian house rat"
"Influenza A virus H7N9, segment 5","Rattus.tanezumi",-0.118824250648686,-0.344188323660313,0.11948589020424,0.327218862212065,"Asian house rat"
"Influenza A virus H9N2 (HA)","Rattus.tanezumi",-0.083554716685003,-0.312395420393321,0.154451683899881,0.491650758531399,"Asian house rat"
"Influenza A virus H9N2 segment 5","Rattus.tanezumi",-0.0835547166850029,-0.312395420393321,0.154451683899881,0.491650758531399,"Asian house rat"
"Parvovirus NIH-CQV","Rattus.tanezumi",NA,NA,NA,NA,"Asian house rat"
"Bamboo rat circovirus","Rattus.tanezumi",-0.187235189012582,-0.404416732595203,0.0499357774246793,0.120643885802221,"Asian house rat"
"Bamboo rat coronavirus","Rattus.tanezumi",-0.120505053363038,-0.345690651671851,0.117804673247004,0.320373349667337,"Asian house rat"
"Betacoronavirus HKU24","Rattus.tanezumi",0.214423618453842,-0.0216407503455723,0.427841292985804,0.0746693809156511,"Asian house rat"
"Cadicivirus B","Rattus.tanezumi",0.302745934799813,0.0729622608443461,0.502008371181582,0.0108518738854753,"Asian house rat"
"Canine coronavirus HeB-G1","Rattus.tanezumi",-0.0393368998148623,-0.271798645950507,0.197462295379199,0.746456446741025,"Asian house rat"
"Canine coronavirus SD-F3","Rattus.tanezumi",-0.0429829365799254,-0.275177698312355,0.193949955093777,0.723856664135354,"Asian house rat"
"Canine kobuvirus JX-MO1","Rattus.tanezumi",-0.148420471171068,-0.370474221047592,0.0896811775278541,0.220115668427693,"Asian house rat"
"Canine kobuvirus SMCD-59","Rattus.tanezumi",-0.16739479305075,-0.387141223387105,0.0703461852086883,0.166020974864672,"Asian house rat"
"Canine parvovirus","Rattus.tanezumi",-0.0409299770526105,-0.273275774069207,0.195928382169443,0.736554298862151,"Asian house rat"
